Molecule,Category,Brand,SKU,Value25,Unit25,GrowthValue25,GrowthUnit25
 WILSHIRE,  METFORMIN+SITAGLIPTIN,   QOSMET             WSH,,"1,978,392","7,758",-56.28,-56.23
 GETZ PHARMA,  NEBIVOLOL,   NEBIL              GTZ,,"913,088,132","3,058,674",31.68,1.32
 THE SEARLE COMPANY,  NEBIVOLOL,   BYSCARD            SEA,,"369,021,901","1,510,354",-14.72,-28.18
 PHARMEVO PVT. LTD.,  NEBIVOLOL,   BYVAS              PV-,,"290,969,246","1,148,851",48.53,36.00
 SCILIFE,  NEBIVOLOL,   NIBOVO             SC1,,"274,581,332","510,223",35.37,14.89
 ATCO,  NEBIVOLOL,   BYNEVOL            AT3,,"190,400,305","837,410",14.61,8.89
 TABROS PHARMA,  NEBIVOLOL,   NEBIVOL            T9P,,"115,504,382","630,502",27.67,21.78
 HORIZON HEALTHCARE,  NEBIVOLOL,   VOLOXO             HHC,,"57,735,166","115,828",23.57,14.87
 NABIQASIM,  NEBIVOLOL,   NABILOC            NQM,,"46,153,581","181,796",-13.54,-29.72
 BARRETT HODGSON,  NEBIVOLOL,   NEBICARE           BGO,,"35,528,233","184,580",5.61,-4.46
 WERRICK PHARMA,  NEBIVOLOL,   BETANORM           WRP,,"31,490,480","357,494",-3.74,-2.00
 WILSONS,  NEBIVOLOL,   NIB                WIS,,"27,365,991","124,296",4.01,-28.27
 SHAIGAN PHARMA,  NEBIVOLOL,   BIVOLOL            SHM,,"12,278,725","62,952",131.25,137.36
 HELIX PHARMA PVT L,  NEBIVOLOL,   VOPIL              HX4,,"4,418,883","24,169",134.98,128.42
 ASPIN PHARMA PVT.,  NEBIVOLOL,   ANVOL              A-V,,"1,481,783","6,996",-79.44,-83.15
 NEUTRO PHARMA,  NEBIVOLOL,   NEUTOBIV           N/P,,"349,164","1,786",-10.97,-10.97
 GENIX PHARMA,  NEBIVOLOL,   NEBILOL            GX4,,531,5,-73.07,-50.00
 SCOTMANN PHARMA,  NEBIVOLOL,   NOBU               SC2,,119,2,-98.62,-97.37
 HIGHNOON,  NEBIVOLOL,   NEBIX              HIG,,"607,118,203","1,705,335",29.94,4.49
 CCL,  NEBIVOLOL,   NABIZ              C.C,,"67,318,906","290,801",17.83,3.36
 GENIX PHARMA,  NEBIVOLOL,   GNEB               GX4,,"61,738,108","246,056",48.23,1.50
 MCOLSON RESEARCH,  NEBIVOLOL,   BISTOLIC           M-R,,"37,828,609","171,552",25.65,13.64
 DANEEN PHARMA,  NEBIVOLOL,   DANLOL             DNN,,"29,257,721","138,103",9.73,-11.81
 MARTIN DOW LIMITED,  NEBIVOLOL,   BEVIS              MD.,,"18,317,861","82,022",49.46,6.88
 CELL LABORATORIES,  NEBIVOLOL,   NEBIFIX            .A2,,"17,346,419","91,858",32.83,39.60
 FEROZSONS,  NEBIVOLOL,   NEBINORM           FZS,,"13,546,639","78,368",999.00,999.00
 SAFFRON PHARMA,  NEBIVOLOL,   B-VOL              SAF,,"8,958,780","42,357",87.94,29.71
 DYNATIS,  NEBIVOLOL,   BETANEB            DY9,,"4,085,610","33,262",15.64,16.30
 PHARMATEC,  NEBIVOLOL,   NEBTEC             PMA,,"3,693,492","15,449",7.65,-8.30
 NABIQASIM,  NEBIVOLOL,   NABILOC            NQM,,"1,256,305","3,423",-46.17,-46.51
 SCOTMANN PHARMA,  NEBIVOLOL,   NOBU               SC2,,"381,772","1,144",-84.97,-88.03
 WILSHIRE,  NEBIVOLOL,   BYVOL              WSH,,"246,340","2,254",-69.94,-67.33
 NEXT PHARMACUETICA,  NEBIVOLOL,   NEVO               .A3,,0,0,-100.00,-100.00
 THE SEARLE COMPANY,  AMLODIPINE+VALSARTAN,   EXTOR              SEA,,"3,343,520,861","9,731,983",2.93,1.37
 PHARMEVO PVT. LTD.,  AMLODIPINE+VALSARTAN,   AVSAR              PV-,,"1,527,747,955","3,741,897",30.72,22.58
 GETZ PHARMA,  AMLODIPINE+VALSARTAN,   COVAM              GTZ,,"1,062,265,034","2,228,024",6.46,-1.66
 HIGHNOON,  AMLODIPINE+VALSARTAN,   BIFORGE            HIG,,"757,637,183","2,014,664",61.87,2.95
 TABROS PHARMA,  AMLODIPINE+VALSARTAN,   VALTEC AM          T9P,,"699,753,829","1,185,319",18.13,16.29
 SCILIFE,  AMLODIPINE+VALSARTAN,   AMSTAN             SC1,,"585,510,193","993,520",10.55,6.00
 NOVARTIS GEN.MED,  AMLODIPINE+VALSARTAN,   EXFORGE            NVR,,"517,278,957","207,181",30.48,1.57
 CCL,  AMLODIPINE+VALSARTAN,   VALAM              C.C,,"412,832,477","894,767",3.65,-5.77
 WERRICK PHARMA,  AMLODIPINE+VALSARTAN,   NEWDAY             WRP,,"313,639,605","1,482,638",-21.04,-19.57
 MARTIN DOW MARKER,  AMLODIPINE+VALSARTAN,   LODOPIN-V          MDM,,"237,991,319","744,106",40.13,32.91
 SAMI,  AMLODIPINE+VALSARTAN,   ONATO-V            SAM,,"159,142,431","542,416",59.53,51.74
 CELL LABORATORIES,  AMLODIPINE+VALSARTAN,   VMED               .A2,,"140,465,226","421,375",16.50,17.44
 GENIX PHARMA,  AMLODIPINE+VALSARTAN,   EXVAL-A            GX4,,"139,767,969","437,465",15.37,15.45
 FEROZSONS,  AMLODIPINE+VALSARTAN,   COVANCE            FZS,,"113,033,652","262,901",2.29,-0.39
 HORIZON HEALTHCARE,  AMLODIPINE+VALSARTAN,   ALVOSTAN           HHC,,"104,308,062","251,273",10.85,12.48
 MARTIN DOW LIMITED,  AMLODIPINE+VALSARTAN,   DOWTOR             MD.,,"100,642,054","238,024",75.72,50.36
 BARRETT HODGSON,  AMLODIPINE+VALSARTAN,   AV-SARTAN          BGO,,"88,730,100","229,979",-8.11,-12.58
 OBS PAK PVT. LTD,  AMLODIPINE+VALSARTAN,   NORVASC-V          OBP,,"62,954,080","166,421",999.00,999.00
 EFROZE,  AMLODIPINE+VALSARTAN,   VALCARD            EFR,,"61,114,914","107,472",79.68,27.58
 NABIQASIM,  AMLODIPINE+VALSARTAN,   REDUPRES-AM        NQM,,"58,564,410","145,837",49.66,41.02
 ATCO,  AMLODIPINE+VALSARTAN,   DIOPLUS            AT3,,"951,682,563","2,238,767",11.40,10.54
 WILSONS,  AMLODIPINE+VALSARTAN,   SOFVASC-V          WIS,,"245,929,984","531,259",17.11,-22.71
 HELIX PHARMA PVT L,  AMLODIPINE+VALSARTAN,   VALSAR-M           HX4,,"75,733,506","227,860",33.58,33.07
 SAFFRON PHARMA,  AMLODIPINE+VALSARTAN,   PRESTOR            SAF,,"73,866,473","200,215",22.01,2.72
 MASS-PHARMA HEALTH,  AMLODIPINE+VALSARTAN,   AMODIP-V           M4P,,"66,910,088","243,080",-2.99,-2.75
 PHARMATEC,  AMLODIPINE+VALSARTAN,   VALMO              PMA,,"37,970,878","75,797",-1.83,-8.27
 HIMONT PHARMA,  AMLODIPINE+VALSARTAN,   CARDIOSIL PLUS     HTP,,"699,952","1,179",-23.85,-47.18
 GETZ PHARMA,  GLIMEPIRIDE,   GETRYL             GTZ,,"3,298,836,883","5,723,921",4.25,-8.67
 HOECHST PAK. LTD.,  GLIMEPIRIDE,   AMARYL             HHK,,"1,313,489,912","2,065,768",14.87,1.85
 HIGH-Q INTL,  GLIMEPIRIDE,   ZEENARYL           HQI,,"558,319,515","2,369,831",12.62,12.01
 PHARMEVO PVT. LTD.,  GLIMEPIRIDE,   EVOPRIDE           PV-,,"195,619,989","389,758",24.34,13.05
 CCL,  GLIMEPIRIDE,   ORINASE            C.C,,"190,373,294","498,751",22.45,6.01
 SAMI,  GLIMEPIRIDE,   GPRIDE             SAM,,"172,853,658","507,492",23.26,4.55
 BARRETT HODGSON,  GLIMEPIRIDE,   DIABOLD            BGO,,"97,571,652","427,377",1.12,-8.70
 MARTIN DOW MARKER,  GLIMEPIRIDE,   GLIOPTIM           MDM,,"80,155,552","333,186",-4.24,-10.32
 NABIQASIM,  GLIMEPIRIDE,   NORLIM             NQM,,"63,365,082","169,946",24.57,18.62
 AGP LIMITED,  GLIMEPIRIDE,   GLUCONORM          A.G,,"59,184,055","148,457",-0.88,-29.50
 SAFFRON PHARMA,  GLIMEPIRIDE,   SAFGO              SAF,,"34,729,859","111,710",84.21,28.97
 WILSHIRE,  GLIMEPIRIDE,   GLYSET             WSH,,"20,275,050","82,610",-6.79,-9.39
 MASS-PHARMA HEALTH,  GLIMEPIRIDE,   GLIP               M4P,,"15,353,190","69,609",-8.84,-6.92
 SHAIGAN PHARMA,  GLIMEPIRIDE,   DILGEM             SHM,,"9,224,603","30,913",35.03,22.91
 AXIS PHARMACEUTICA,  GLIMEPIRIDE,   GLANYL             AX-,,"8,272,364","39,663",999.00,999.00
 NOVAMED PHARMA,  GLIMEPIRIDE,   DIABRYL            NO+,,"5,396,659","28,706",30.03,28.95
 MACTER,  GLIMEPIRIDE,   GLIO               MTR,,"5,395,234","21,691",-39.52,-37.95
 MEGA PHARMA,  GLIMEPIRIDE,   MEGAPRIDE          M7A,,"3,946,163","26,225",-1.86,8.98
 SCHAZOO ZAKA PVT L,  GLIMEPIRIDE,   GLEMEX             SCZ,,"3,401,745","13,224",6.27,0.32
 MAPLE PHARMA PVT L,  GLIMEPIRIDE,   GLYPER             MPP,,"1,159,192","4,790",15.23,16.04
 ARIES PHARMA,  GLIMEPIRIDE,   GLACTIL            AR&,,"3,231,465","12,408",11.90,11.77
 SHAIGAN PHARMA,  WARFARIN,   WARFIN             SHM,,"83,722,486","75,023",7.11,-10.29
 EVANS,  WARFARIN,   MAREVAN            EVA,,"2,391",86,999.00,999.00
 PHARMEVO PVT. LTD.,  ROSUVASTATIN,   X-PLENDED          PV-,,"1,830,986,552","4,827,541",34.56,16.75
 TABROS PHARMA,  ROSUVASTATIN,   RAST               T9P,,"554,962,331","2,038,480",11.52,8.76
 CCL,  ROSUVASTATIN,   CRESTAT            C.C,,"349,892,508","967,272",6.62,-6.76
 HIGHNOON,  ROSUVASTATIN,   ROSULIN            HIG,,"279,032,873","819,089",23.04,5.60
 SCILIFE,  ROSUVASTATIN,   KESTORE            SC1,,"259,687,743","1,130,133",40.89,1.92
 SAMI,  ROSUVASTATIN,   ROSERA             SAM,,"226,862,676","875,042",25.07,15.61
 ATCO,  ROSUVASTATIN,   ROVATOR            AT3,,"159,981,281","485,237",-4.77,-6.87
 THE SEARLE COMPANY,  ROSUVASTATIN,   VAPTOR             SEA,,"142,426,048","530,801",-36.73,-37.81
 MARTIN DOW MARKER,  ROSUVASTATIN,   CRESCOR            MDM,,"131,012,726","429,756",25.72,15.60
 NABIQASIM,  ROSUVASTATIN,   ROVIROS            NQM,,"73,976,643","226,448",28.39,9.30
 FEROZSONS,  ROSUVASTATIN,   AURORA             FZS,,"69,335,086","235,297",-10.27,-15.60
 NOVAMED PHARMA,  ROSUVASTATIN,   ROSOMED            NO+,,"64,327,832","105,328",23.59,17.41
 SAFFRON PHARMA,  ROSUVASTATIN,   ROSTOR             SAF,,"46,968,775","173,738",8.36,-3.61
 L.C.I,  ROSUVASTATIN,   XENECOR            ICI,,"34,080,605","109,527",3.96,-10.18
 CELL LABORATORIES,  ROSUVASTATIN,   RUSIAM             .A2,,"27,568,560","136,624",10.10,7.96
 STANDPHARM,  ROSUVASTATIN,   ROVIN              STH,,"21,601,150","74,443",38.22,14.58
 HELIX PHARMA PVT L,  ROSUVASTATIN,   LOSTER             HX4,,"18,010,424","70,731",0.21,2.35
 ABBOTT PHARMA,  ROSUVASTATIN,   RUVASTAT           AB&,,"17,346,068","63,905",-21.68,-19.94
 GLOBAL,  ROSUVASTATIN,   ROVAST             GLB,,"16,274,108","88,315",174.85,164.88
 ROTEX PHARMA,  ROSUVASTATIN,   ROVI               RTX,,"15,619,760","135,824",24.53,24.53
 GETZ PHARMA,  ROSUVASTATIN,   ROVISTA            GTZ,,"2,861,609,995","2,473,542",4.71,-40.25
 HIGH-Q INTL,  ROSUVASTATIN,   FORTIUS            HQI,,"570,143,341","1,763,949",45.67,20.26
 HILTON,  ROSUVASTATIN,   ROLIP              HL.,,"333,003,134","1,130,965",-1.68,-9.33
 HORIZON HEALTHCARE,  ROSUVASTATIN,   STAARS             HHC,,"189,934,890","187,605",26.06,5.30
 BOSCH,  ROSUVASTATIN,   ROVA               B6H,,"133,481,807","461,395",-11.78,1.70
 BARRETT HODGSON,  ROSUVASTATIN,   ROSUBAR            BGO,,"118,159,127","343,970",5.25,-5.53
 MARTIN DOW LIMITED,  ROSUVASTATIN,   ROSWIN             MD.,,"86,082,095","293,217",68.88,49.98
 ASIAN CONTINENTAL,  ROSUVASTATIN,   ROSUVAX            AP&,,"38,772,543","181,380",4.08,-3.07
 WILSONS,  ROSUVASTATIN,   ROSUVA             WIS,,"30,673,270","84,860",-35.23,-54.04
 GENIX PHARMA,  ROSUVASTATIN,   ROSCA              GX4,,"21,628,423","83,317",27.01,11.92
 WERRICK PHARMA,  ROSUVASTATIN,   PASAGE             WRP,,"14,162,263","107,798",-5.13,-5.04
 WILSHIRE,  ROSUVASTATIN,   QAZZO              WSH,,"5,954,771","25,192",-55.59,-61.65
 ASPIN PHARMA PVT.,  ROSUVASTATIN,   XOVAT              A-V,,"5,005,203","22,755",-68.18,-67.99
 MASS-PHARMA HEALTH,  ROSUVASTATIN,   VESONOR            M4P,,"3,937,561","20,141",-10.73,-11.97
 SOIN PHARMA.,  ROSUVASTATIN,   NEOSTAT            .SP,,"3,557,131","12,605",12.60,2.94
 SCOTMANN PHARMA,  ROSUVASTATIN,   COUGAR             SC2,,"2,566,348","3,897",-56.17,-62.43
 NEUTRO PHARMA,  ROSUVASTATIN,   ROT                N/P,,"1,007,955","4,822",549.94,581.07
 PLATINUM PHARMA,  ROSUVASTATIN,   ROSTAT             P/P,,"682,856","4,462",-35.43,-38.70
 SHROOQ PHARMA,  ROSUVASTATIN,   ROVIP              SQP,,"418,626","1,970",40.01,40.01
 SANTE PHAR,  ROSUVASTATIN,   ROSAN              SNE,,0,0,-100.00,-100.00
 GENETICS PHARMA,  ROSUVASTATIN,   ROSUGEN            G9P,,"16,840,161","60,669",4.30,-6.08
 NABIQASIM,  CLOTRIMAZOLE,   GYNOSPORIN         NQM,,"175,039,931","1,295,980",17.57,6.61
 BAYER CONS. CARE,  CLOTRIMAZOLE,   CANESTEN           BCN,,"113,186,591","938,140",41.64,40.22
 GLITZ PHARMA,  CLOTRIMAZOLE,   WORMCLO            G6Z,,"9,598,281","66,072",51.48,47.90
 SHAIGAN PHARMA,  CLOTRIMAZOLE,   CLOZOX             SHM,,"4,405,323","35,084",70.79,35.46
 FYNK PHARMA,  CLOTRIMAZOLE,   ORIMAZOLE-V        FYK,,"2,919,166","31,221",29.40,-17.76
 BLOOM PHARMA,  CLOTRIMAZOLE,   VAGINEX-1          BLO,,"2,698,055","24,250",999.00,999.00
 DAVIS PHARMA,  CLOTRIMAZOLE,   DAVIZOLE-V         DVI,,"2,139,970","33,024",14.65,5.27
 Z-JANS PHARMA,  CLOTRIMAZOLE,   VAGITRIM           ZJP,,"232,356","4,556",987.35,987.35
 PLATINUM PHARMA,  CLOTRIMAZOLE,   OLIGYN             P/P,,"6,390",64,-99.78,-99.79
 VALOR PHARMA,  CLOTRIMAZOLE,   VAGIZOLE           V4P,,"2,193",86,999.00,999.00
 BRYON,  CLOTRIMAZOLE,   GYNOSAFE           BY.,,0,0,-100.00,-100.00
 BAYER CONS. CARE,  CLOTRIMAZOLE,   CANESTEN           BCN,,"197,164,864","1,377,093",16.41,15.24
 NABIQASIM,  CLOTRIMAZOLE,   DERMOSPORIN        NQM,,"65,101,707","538,583",16.14,6.26
 ZAFA,  CLOTRIMAZOLE,   CLOTRIM            ZAF,,"28,630,540","686,556",-16.16,-16.50
 PEARL PHARMA,  CLOTRIMAZOLE,   CLOZOLE            PP5,,"7,024,740","64,416",255.58,33.97
 SHAIGAN PHARMA,  CLOTRIMAZOLE,   CLOZOX             SHM,,"2,270,340","52,615",95.95,95.95
 GEOFMAN PHARMA,  CLOTRIMAZOLE,   DERMOTRIM          GEO,,"1,083,774","26,021",15.28,15.29
 STIEFEL,  CLOTRIMAZOLE,   STIEMAZOL          STF,,"81,600",833,-96.91,-96.92
 BAYER CONS. CARE,  CLOTRIMAZOLE,   CANESTEN           BCN,,"160,021,523","1,145,114",13.71,16.06
 NABIQASIM,  CLOTRIMAZOLE,   GYNOSPORIN         NQM,,"45,010,287","370,596",8.95,4.72
 BARRETT HODGSON,  CLOTRIMAZOLE,   BARRESTEN          BGO,,"9,762,054","99,253",24.62,7.07
 GLITZ PHARMA,  CLOTRIMAZOLE,   WORMCLO            G6Z,,"4,824,383","49,202",1.94,-8.52
 SHAIGAN PHARMA,  CLOTRIMAZOLE,   CLOZOX             SHM,,"2,163,999","19,323",123.84,97.58
 FYNK PHARMA,  CLOTRIMAZOLE,   ORIMAZOLE          FYK,,"1,663,836","17,795",61.80,12.20
 P.D.H.,  CLOTRIMAZOLE,   FLORACLEAN         P1P,,"1,465,749","12,546",999.00,999.00
 DAVIS PHARMA,  CLOTRIMAZOLE,   DAVIZOLE-V         DVI,,"1,202,758","22,060",-15.42,-15.61
 PLATINUM PHARMA,  CLOTRIMAZOLE,   OLIGYN             P/P,,"742,141","10,430",-65.58,-65.80
 SAYDON PHAR.,  CLOTRIMAZOLE,   GYNAZOL            SY3,,"577,384","9,160",274.02,285.04
 BLOOM PHARMA,  CLOTRIMAZOLE,   MACROLEX           BLO,,"429,138","4,923",999.00,999.00
 BRISTOL MAYER BIOT,  CLOTRIMAZOLE,   MIONESTEN          BMB,,"413,443","5,120",7.72,7.72
 PHARMIX LAB,  CLOTRIMAZOLE,   MIZOLE             PIX,,"262,490","3,498",-76.93,-76.93
 AXIS PHARMACEUTICA,  CLOTRIMAZOLE,   FEMECARE           AX-,,"232,914","2,555",999.00,999.00
 BRYON,  CLOTRIMAZOLE,   GYNOSAFE           BY.,,"132,676","1,864",45.50,56.38
 ISLAM PHARMA,  CLOTRIMAZOLE,   CLOLAM             ISL,,"35,544",508,100.00,100.00
 PEARL PHARMA,  CLOTRIMAZOLE,   CLOZOLE            PP5,,"8,130",271,-94.20,-92.00
 CARAWAY PHARMA,  CLOTRIMAZOLE,   CARA-CLOT          CWH,,"5,774",69,-94.70,-94.70
 GEOFMAN PHARMA,  CLOTRIMAZOLE,   DERMOTRIM          GEO,,272,4,-97.33,-97.33
 GREATER PHARMA,  CLOTRIMAZOLE,   FUNGI DERM         GET,,0,0,-100.00,-100.00
 NABIQASIM,  CLOTRIMAZOLE,   DERMOSPORIN        NQM,,"75,130,112","1,212,775",6.40,5.39
 ZAFA,  CLOTRIMAZOLE,   CLOTRIM            ZAF,,"26,136,419","619,053",3.97,3.97
 CRYSTOLITE PHARMA,  CLOTRIMAZOLE,   CANIX              CP.,,"19,609,228","288,371",119.84,119.84
 PEARL PHARMA,  CLOTRIMAZOLE,   CLOZOLE            PP5,,"5,434,346","81,966",11.11,11.11
 VALOR PHARMA,  CLOTRIMAZOLE,   CREMAZOLE          V4P,,"2,889,981","51,215",118.92,77.61
 STIEFEL,  CLOTRIMAZOLE,   STIEMAZOL          STF,,"12,537",69,-99.57,-99.58
 NABIQASIM,  CLINDAMYCIN,   VAGIBACT           NQM,,"185,827,873","312,446",29.73,10.23
 SHAIGAN PHARMA,  CLINDAMYCIN,   CLYCIN-V           SHM,,"96,866,214","168,830",13.74,3.57
 DANAS PHARMA,  CLINDAMYCIN,   KLENCIN            DSP,,"3,927,854","18,484",-13.32,-13.32
 FYNK PHARMA,  CLINDAMYCIN,   CEDA-V             FYK,,"3,653,192","9,384",168.75,93.64
 FOCUS & RULZ PHARM,  CLINDAMYCIN,   CLINDA-V           F&R,,"3,013,981","10,429",999.00,999.00
 CELL LABORATORIES,  CLINDAMYCIN,   CALIDIN V          .A2,,"2,384,614","5,679",999.00,999.00
 PFIZER PAKISTAN,  CLINDAMYCIN,   DALACIN V          PFZ,,"1,188,903","1,850",-79.71,-80.61
 EXCEL HEALTH CARE,  CLINDAMYCIN,   VECLIN             EXC,,"491,072","2,013",-9.32,-9.32
 UNIMARK PHARMA,  CLINDAMYCIN,   CLINXER-V          UMK,,"233,538","1,099",999.00,999.00
 MEDISURE LABS,  CLINDAMYCIN,   CALINAX            MDS,,"231,508",949,999.00,999.00
 BIO-LABS,  CLINDAMYCIN,   C-MYCIN            BI-,,"80,429",166,-65.36,-66.46
 SHROOQ PHARMA,  CLINDAMYCIN,   CLINZEN            SQP,,"21,318",88,-75.00,-75.00
 CARAWAY PHARMA,  CLINDAMYCIN,   CLINDEX            CWH,,"2,251",6,-94.83,-94.83
 VALOR PHARMA,  CLINDAMYCIN,   GYNACIN            V4P,,0,0,-100.00,-100.00
 SHAIGAN PHARMA,  CLINDAMYCIN,   CLYCIN-T           SHM,,"102,943,347","557,294",18.64,6.36
 ATCO,  CLINDAMYCIN,   ACSOLVE            AT3,,"80,985,315","438,422",17.49,16.22
 MAXITECH PH,  CLINDAMYCIN,   CLIN-MAX           MXT,,"29,468,660","270,777",144.82,144.82
 PFIZER PAKISTAN,  CLINDAMYCIN,   DALACIN T          PFZ,,"18,846,571","73,453",-25.96,-26.45
 MARTIN DOW LIMITED,  CLINDAMYCIN,   CLINACIN           MD.,,"11,222,244","55,011",33.53,19.45
 PEARL PHARMA,  CLINDAMYCIN,   CLINDAMAX          PP5,,"4,973,748","45,702",-35.91,-35.91
 BLOOM PHARMA,  CLINDAMYCIN,   AUSTACLIN-T        BLO,,"1,196,658","5,190",999.00,999.00
 VALOR PHARMA,  CLINDAMYCIN,   CLINDA DERM        V4P,,"1,011,204","7,931",100.68,100.68
 PHARMASOL PVT.LTD,  CLINDAMYCIN,   CLINDASOL          PSL,,"355,032","1,922",228.55,228.55
 EPLA,  CLINDAMYCIN,   ACNESAFE           EP.,,"16,093",98,-80.81,-78.83
 STIEFEL,  CLINDAMYCIN,   CLINAGEL           STF,,"71,639,001","325,366",34.25,3.65
 ATCO,  CLINDAMYCIN,   ACSOLVE            AT3,,"67,469,136","377,936",0.05,-1.10
 MARTIN DOW LIMITED,  CLINDAMYCIN,   CLINACIN           MD.,,"23,873,842","126,122",-4.19,-10.86
 SHAIGAN PHARMA,  CLINDAMYCIN,   CLYCIN-T           SHM,,"13,712,792","82,652",246.00,246.00
 PEARL PHARMA,  CLINDAMYCIN,   CLINDAMAX          PP5,,"6,289,830","73,998",4.08,4.08
 SANTE PHAR,  CLINDAMYCIN,   CLINDACIN          SNE,,"5,287,066","25,482",-7.34,-12.71
 LIFE PHARMA. CO.,  CLINDAMYCIN,   CLINDATOS          LIE,,"2,166,556","13,621",999.00,999.00
 VALOR PHARMA,  CLINDAMYCIN,   CLINDA DERM        V4P,,"1,965,200","23,120",55.30,55.30
